sample_id	AFR	AMR	EAS	EUR	SAS
s1	0.0060	0.0341	0.9191	0.0000	0.0408
s2	0.0111	0.1144	0.0000	0.7966	0.0779
s3	0.0045	0.1101	0.0000	0.7933	0.0921
s4	0.0000	0.1115	0.0000	0.8016	0.0870
s5	0.0107	0.6993	0.0959	0.1410	0.0531
s6	0.0224	0.1072	0.0000	0.7835	0.0869
s8	0.0000	0.1143	0.0000	0.8148	0.0709
s9	0.0305	0.0000	0.0854	0.0461	0.8380
s10	0.0256	0.1267	0.0000	0.7631	0.0847
s13	0.0000	0.6129	0.0762	0.2497	0.0612
s14	0.0210	0.0276	0.0607	0.0480	0.8427
s16	0.0007	0.0419	0.9266	0.0000	0.0308
s17	0.0007	0.7182	0.1049	0.1286	0.0475
s18	0.0071	0.1214	0.0000	0.7868	0.0847
s19	0.0000	0.1104	0.0000	0.8093	0.0803
s20	0.0037	0.1009	0.0000	0.8070	0.0885
s24	0.0000	0.1227	0.0000	0.7960	0.0813
s26	0.0628	0.4280	0.0081	0.4227	0.0783
s27	0.0282	0.0043	0.0986	0.0278	0.8411
s28	1.0000	0.0000	0.0000	0.0000	0.0000
s29	0.0041	0.1094	0.0000	0.8020	0.0845
s30	0.0026	0.0316	0.9167	0.0000	0.0491
s31	0.0048	0.1145	0.0000	0.7945	0.0861
s32	0.0296	0.0267	0.0732	0.0289	0.8417
s33	0.0018	0.0262	0.9263	0.0000	0.0456
s34	0.0037	0.0288	0.9249	0.0000	0.0426
s35	0.0000	0.1133	0.0000	0.8013	0.0854
s36	0.0045	0.1157	0.0000	0.8044	0.0754
s37	0.0064	0.1180	0.0000	0.8105	0.0650
s38	1.0000	0.0000	0.0000	0.0000	0.0000
s41	0.0000	0.1071	0.0000	0.8097	0.0832
s42	0.0201	0.1060	0.0000	0.7896	0.0843
s43	0.0270	0.1209	0.0000	0.7734	0.0787
s46	0.0221	0.1140	0.0000	0.7672	0.0966
s47	0.0537	0.3051	0.0000	0.5561	0.0851
s48	0.0353	0.4100	0.0202	0.4570	0.0775
s49	1.0000	0.0000	0.0000	0.0000	0.0000
s50	0.0000	0.4834	0.0586	0.3917	0.0663
s51	0.0199	0.5302	0.0503	0.3420	0.0576
s52	0.0027	0.1126	0.0000	0.8059	0.0788
s53	0.0000	0.1044	0.0000	0.8022	0.0934
s54	0.0289	0.0221	0.0618	0.0576	0.8296
s55	0.0000	0.0986	0.0000	0.7963	0.1051
s57	0.0491	0.2928	0.0000	0.5681	0.0900
s58	0.0000	0.1207	0.0000	0.8028	0.0765
s59	0.0227	0.1184	0.0000	0.7732	0.0857
s60	0.0020	0.1055	0.0000	0.7986	0.0940
s61	0.0227	0.0921	0.0000	0.7963	0.0889
s64	0.0000	0.1001	0.0000	0.8146	0.0853
s66	0.0068	0.1101	0.0000	0.7966	0.0866
s67	0.0306	0.0454	0.0618	0.0525	0.8097
s68	0.0215	0.0349	0.0633	0.0527	0.8277
s69	0.0449	0.1660	0.0000	0.6992	0.0899
s73	0.0279	0.0418	0.0648	0.0538	0.8117
s74	1.0000	0.0000	0.0000	0.0000	0.0000
s75	1.0000	0.0000	0.0000	0.0000	0.0000
s76	0.0233	0.1136	0.0000	0.7760	0.0871
s77	0.0000	0.1103	0.0000	0.7898	0.1000
s78	0.0042	0.1100	0.0000	0.8065	0.0793
s79	1.0000	0.0000	0.0000	0.0000	0.0000
s82	0.0000	0.1054	0.0000	0.8332	0.0614
s83	0.0063	0.7135	0.1048	0.1356	0.0398
s84	0.0184	0.1136	0.0000	0.7708	0.0972
s85	0.0142	0.7572	0.1060	0.0866	0.0360
s87	0.0193	0.1153	0.0000	0.7866	0.0789
s91	0.0024	0.0299	0.9268	0.0000	0.0409
s92	0.0198	0.1077	0.0000	0.7875	0.0849
s93	0.0199	0.1077	0.0000	0.7875	0.0849
s94	0.0007	0.0419	0.9266	0.0000	0.0307
s95	0.0306	0.0454	0.0618	0.0525	0.8097
